Model,accuracy,precision,recall,f1,roc_auc
KNN,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9713955026455027
MLP,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.992063492063492
Logistic Regression,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9953703703703703
SVM,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9953703703703705
Random Forest,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9933862433862434
